file,original_size,compressed_size,ratio,compression_ms,decompression_ms
Blaise_Pascal.txt,120304,70654,0.5872955180210134,56636.15679740906,49615.7124042511
code_python_sample.txt,628,430,0.6847133757961783,120.06759643554688,95.52502632141113
data_json_sample.txt,439,322,0.7334851936218679,84.90920066833496,72.69096374511719
emojis.txt,427,402,0.9414519906323185,149.06024932861328,136.03663444519043
english_mixed_case.txt,204,177,0.8676470588235294,34.95454788208008,33.54930877685547
gutenberg_small_fr.txt,294,215,0.7312925170068028,61.911821365356445,41.71872138977051
json_like_config.txt,177,149,0.8418079096045198,27.734994888305664,18.687009811401367
random_biased_letters.txt,527,229,0.43453510436432635,70.99056243896484,68.24088096618652
random_uniform_letters.txt,780,597,0.7653846153846153,194.79990005493164,252.62212753295898
short.txt,3,12,4.0,8.163213729858398,1.0755062103271484
